model,epoch,loss,train_accuracy,val_accuracy
MLP(flatten pixels),31,0.03630082309246063,1.0,0.08333333333333333
MLP(flatten pixels),32,0.03586658090353012,1.0,0.08333333333333333
MLP(flatten pixels),33,0.03545817732810974,1.0,0.08333333333333333
MLP(flatten pixels),34,0.03507528454065323,1.0,0.08333333333333333
MLP(flatten pixels),35,0.034706369042396545,1.0,0.08333333333333333
MLP(flatten pixels),36,0.03436719626188278,1.0,0.08333333333333333
MLP(flatten pixels),37,0.034040629863739014,1.0,0.08333333333333333
MLP(flatten pixels),38,0.03373132273554802,1.0,0.08333333333333333
MLP(flatten pixels),39,0.03343762457370758,1.0,0.08333333333333333
MLP(flatten pixels),40,0.03315911442041397,1.0,0.08333333333333333
MLP(flatten pixels),41,0.03289146348834038,1.0,0.08333333333333333
MLP(flatten pixels),42,0.03263772279024124,1.0,0.08333333333333333
MLP(flatten pixels),43,0.03239481523633003,1.0,0.08333333333333333
MLP(flatten pixels),44,0.03216621279716492,1.0,0.08333333333333333
MLP(flatten pixels),45,0.031940363347530365,1.0,0.08333333333333333
MLP(flatten pixels),46,0.031732991337776184,1.0,0.08333333333333333
MLP(flatten pixels),47,0.03152880072593689,1.0,0.08333333333333333
MLP(flatten pixels),48,0.03133479133248329,1.0,0.08333333333333333
MLP(flatten pixels),49,0.031148241832852364,1.0,0.08333333333333333
MLP(flatten pixels),50,0.030965540558099747,1.0,0.08333333333333333
MLP(flatten pixels),51,0.030793651938438416,1.0,0.08333333333333333
MLP(flatten pixels),52,0.030628737062215805,1.0,0.08333333333333333
MLP(flatten pixels),53,0.030467070639133453,1.0,0.08333333333333333
MLP(flatten pixels),54,0.030311264097690582,1.0,0.08333333333333333
MLP(flatten pixels),55,0.03016383945941925,1.0,0.08333333333333333
MLP(flatten pixels),56,0.03002040646970272,1.0,0.08333333333333333
MLP(flatten pixels),57,0.029879558831453323,1.0,0.08333333333333333
MLP(flatten pixels),58,0.029744138941168785,1.0,0.08333333333333333
MLP(flatten pixels),59,0.0296160988509655,1.0,0.08333333333333333
MLP(flatten pixels),60,0.029488101601600647,1.0,0.08333333333333333
MLP(flatten pixels),61,0.02936677820980549,1.0,0.08333333333333333
MLP(flatten pixels),62,0.029247717931866646,1.0,0.08333333333333333
MLP(flatten pixels),63,0.02913244441151619,1.0,0.08333333333333333
MLP(flatten pixels),64,0.029021482914686203,1.0,0.08333333333333333
MLP(flatten pixels),65,0.028914257884025574,1.0,0.08333333333333333
MLP(flatten pixels),66,0.028807081282138824,1.0,0.08333333333333333
MLP(flatten pixels),67,0.028706908226013184,1.0,0.08333333333333333
MLP(flatten pixels),68,0.028607603162527084,1.0,0.08333333333333333
MLP(flatten pixels),69,0.028512079268693924,1.0,0.08333333333333333
MLP(flatten pixels),70,0.02841869369149208,1.0,0.08333333333333333
MLP(flatten pixels),71,0.02832780033349991,1.0,0.08333333333333333
MLP(flatten pixels),72,0.028238993138074875,1.0,0.08333333333333333
MLP(flatten pixels),73,0.0281539186835289,1.0,0.08333333333333333
MLP(flatten pixels),74,0.028069742023944855,1.0,0.08333333333333333
MLP(flatten pixels),75,0.027988197281956673,1.0,0.08333333333333333
MLP(flatten pixels),76,0.027908271178603172,1.0,0.08333333333333333
MLP(flatten pixels),77,0.027830569073557854,1.0,0.08333333333333333
MLP(flatten pixels),78,0.02775544486939907,1.0,0.08333333333333333
MLP(flatten pixels),79,0.027682263404130936,1.0,0.08333333333333333
MLP(flatten pixels),80,0.027609264478087425,1.0,0.08333333333333333
CNN-local features,1,3.596572160720825,0.03773584905660377,0.0
CNN-local features,2,3.1445868015289307,0.11320754716981132,0.0
CNN-local features,3,2.7913854122161865,0.1509433962264151,0.0
CNN-local features,4,2.500854730606079,0.20754716981132076,0.0
CNN-local features,5,2.2587037086486816,0.3018867924528302,0.0
CNN-local features,6,2.052687883377075,0.37735849056603776,0.0
CNN-local features,7,1.8737696409225464,0.49056603773584906,0.08333333333333333
CNN-local features,8,1.716483473777771,0.5283018867924528,0.08333333333333333
CNN-local features,9,1.5778143405914307,0.6226415094339622,0.08333333333333333
CNN-local features,10,1.4553688764572144,0.660377358490566,0.08333333333333333
CNN-local features,11,1.3456807136535645,0.7358490566037735,0.08333333333333333
